99.9,94.4,87,77.95,68.9,59.4,54.45,46.65,38.75,30.05,26.2,20.95,17.65,12.8,11.1,8.300003,6.800003,5.949997,4.900002,5,4.449997,6.099998,8.349998,11.8,16.5,22.35,30.425,39.75,50,61.05,71.05,80.25,86.875,92.7,96,98.4,99.35,99.75,99.95,100,100
100,92.8,85.5,76.8,68.15,59.75,49.7,45.05,35.95,30.2,24.8,20.15,16.2,11.85,10.45,6.800003,6.349998,5.150002,3.699997,3.900002,2.949997,3.949997,4.849998,8.349998,11.05,17.05,21.975,30.85,38.95,50,60.45,71.75,81.45,87.9,93.5,97,99,99.6,99.95,100,100
99.95,92.3,84.15,74.45,65.45,57.6,47.3,41.2,35.7,29.2,25.05,19.15,15.75,12.05,9.400002,7.099998,5.800003,3.849998,3.800003,2.75,2.349998,3.650002,3.25,4.5,6.800003,10.6,16.05,22.3,28.95,39.55,50,60.825,72.225,83.75,90.8,94.4,98.4,99.5,99.9,100,100
100,91.8,82.65,74.1,64.05,54.9,44.2,38.8,33.65,27.55,22.1,18.95,14.65,10.05,7.949997,5.800003,4.75,2.650002,2.150002,2.150002,1.449997,1.449997,2.050003,2.800003,4.75,7.150002,10.4,14.925,19.75,28.25,39.175,50,63.15,74.95,83.675,91.775,96.7,98.85,99.65,100,100
99.95,90.85,81.65,69.9,61.6,54.85,43.85,37.3,29.25,25.55,22.1,15.3,13.2,10.1,7.75,6.199997,3.650002,3.199997,2,1.900002,1.449997,0.9499969,0.8499985,2.25,2.599998,3.699997,4.849998,9.050003,13.125,18.55,27.775,36.85,50,61.7,77.025,86,93.725,98.25,99.45,100,100
100,88.1,79.85,69.55,59.2,51.35,42.45,33.45,29.55,23.25,19.6,13.6,11.85,8.699997,8.349998,5.300003,4,1.900002,2.25,1.599998,0.6500015,0.6999969,0.6500015,0.6999969,1.349998,1.75,3.400002,4.25,7.300003,12.1,16.25,25.05,38.3,50,65.725,77.975,90.15,96.125,98.7,99.95,100
100,88.4,78.5,66.1,55.6,47.3,41.15,33.1,28.65,20.95,17.7,11.95,10.85,7.800003,5.949997,4.699997,3.050003,2.650002,2,1.099998,1,0.4000015,0.3499985,0.6500015,0.6500015,1.699997,1.400002,2.599998,4,6.5,9.199997,16.325,22.975,34.275,50,65.375,82.125,92.75,98.125,99.975,100
100,87.4,75.2,64.65,55.6,46.35,38.15,31.3,25.7,19.95,16.85,12.95,8.949997,8.199997,6.349998,4,2.699997,2.300003,1.050003,0.8000031,0.4000015,0.5,0.3000031,0.1500015,0.1999969,0.5500031,0.5999985,1.25,1.599998,3,5.599998,8.224998,14,22.025,34.625,50,68.5,85.75,94.95,99.4,99.975
100,86.6,74.1,63.35,55.7,43.25,35.25,29.7,24.2,19.95,15.3,11.85,9.050003,6.800003,4.800003,3.5,2.400002,1.75,1.5,1.050003,0.4499969,0.1999969,0.3000031,0.09999847,0.1500015,0.3000031,0.5500031,0.3499985,0.6500015,1,1.599998,3.300003,6.275002,9.849998,17.875,31.5,50,73.175,89.2,98.45,99.9
100,85.5,72.8,62,52.7,41.35,34.5,27.1,22.45,18.2,13.15,11.1,7.599998,5.75,5,3.050003,2.550003,1.349998,0.8000031,0.6500015,0.3499985,0.3499985,0.25,0.1500015,0.05000305,0.05000305,0.05000305,0,0.25,0.4000015,0.5,1.150002,1.75,3.875,7.25,14.25,26.825,50,75.35,92.8,98.6
100,85.6,71.4,59.05,49.9,40.1,33.05,28.15,18.75,18.05,13.2,9.650002,8.349998,6.150002,2.900002,3.099998,2.550003,1.5,0.9499969,0.75,0.3000031,0.09999847,0.4000015,0.05000305,0.1500015,0.05000305,0,0,0.05000305,0.05000305,0.09999847,0.3499985,0.5500031,1.300003,1.875,5.050003,10.8,24.65,50,77.7,93.15
100,85.3,73.6,58.15,48.65,39.8,32.45,25.25,21.7,16.7,13.25,10,7.150002,5,3.849998,3.099998,2.449997,1.650002,1.349998,0.5500031,0.4000015,0.5500031,0.09999847,0.09999847,0.05000305,0,0,0,0,0,0,0,0,0.05000305,0.02500153,0.5999985,1.550003,7.199997,22.3,50,75.05
100,85.35,68.9,58.55,48.35,40.5,30.85,25.85,19.4,16.2,12.55,10.5,7.199997,5.449997,3.75,2.550003,1.449997,0.9499969,1.400002,0.5,0.4000015,0.05000305,0.09999847,0.1500015,0,0,0,0,0,0,0,0,0,0,0,0.02500153,0.09999847,1.400002,6.849998,24.95,50
